"Year","Actress","Role","English Title"
"1932","Helen Hayes","Madelon Claudet","The Sin of Madelon Claudet"
"1934","Katharine Hepburn",""Josephine ""Jo"" March"","Little Women"
"1935","Paula Wessely","Valerie Gärtner","Episode"
"1936","Annabella","Jeanne de Corlaix","Veille d'armes"
"1937","Bette Davis","Mary Dwight Strauber","Marked Woman"
"1937","Bette Davis",""Louise ""Fluff"" Phillips"","Kid Galahad"
"1938","Norma Shearer","Marie Antoinette","Marie Antoinette"
"1941","Luise Ullrich","Annelie Dörensen","Annelie"
"1942","Kristina Söderbaum","Anna Jobst","Die goldene Stadt"
"1947","Anna Magnani","Angelina Bianchi","Angelina"
"1948","Jean Simmons","Ophelia","Hamlet"
"1949","Olivia de Havilland","Virginia Stuart Cunningham","The Snake Pit"
"1950","Eleanor Parker","Marie Allen","Caged"
"1951","Vivien Leigh","Blanche DuBois","A Streetcar Named Desire"
"1952","Ingrid Bergman","Irene Girard","Europe '51"
"1953","Lilli Palmer","Abby Edwards","The Four Poster"
"1956","Maria Schell","Gervaise Macquart Coupeau","Gervaise"
"1957","Dzidra Ritenberga","Malva","Malva"
"1958","Sophia Loren","Rose Bianco","The Black Orchid"
"1959","Madeleine Robinson","Thérèse Marcoux","Web of Passion"
"1960","Shirley MacLaine","Fran Kubelik","The Apartment"
"1961","Suzanne Flon","Madame Cordier","Thou Shalt Not Kill"
"1962","Emmanuelle Riva","Thérèse Desqueyroux","Thérèse Desqueyroux"
"1963","Delphine Seyrig","Hélène Aughain","Muriel"
"1964","Harriet Andersson","Louise","To Love"
"1965","Annie Girardot","Kay Larsi","Three Rooms in Manhattan"
"1966","Natalya Arinbasarova","Altynai","The First Teacher"
"1967","Shirley Knight","Lula","Dutchman"
"1968","Laura Betti","Emilia","Teorema"
"1983","Darling Légitimus","M'Man-Tine","Sugar Cane Alley"
"1984","Pascale Ogier","Louise","Full Moon in Paris"
"1986","Valeria Golino","Bruna Assecondati","A Tale of Love"
"1987","Kang Soo-yeon","Ok-nyo","The Surrogate Woman"
"1988","Isabelle Huppert","Marie Latour","Story of Women"
"1988","Shirley MacLaine","Madame Sousatzka","Madame Sousatzka"
"1989","Peggy Ashcroft","Lillian Huckle","She's Been Away"
"1989","Geraldine James","Harriet Ambrose","She's Been Away"
"1990","Gloria Münchmeyer","Lucrecia","The Moon in the Mirror"
"1991","Tilda Swinton","Isabella","Edward II"
"1992","Gong Li","Qiu Ju","The Story of Qiu Ju"
"1993","Juliette Binoche","Julie Vignon de Courcy","Three Colours: Blue"
"1993","Anna Bonaiuto","Mother","Where Are You? I'm Here"
"1994","Maria de Medeiros","Maria","Two Brothers, My Sister"
"1994","Vanessa Redgrave","Irina Shapira","Little Odessa"
"1995","Sandrine Bonnaire","Sophie","La Cérémonie"
"1995","Isabelle Huppert","Jeanne","La Cérémonie"
"1995","Isabella Ferrari","Andreina","The Story of a Poor Young Man"
"1996","Victoire Thivisol","Ponette","Ponette"
"1997","Robin Tunney","Marcy","Niagara, Niagara"
"1998","Catherine Deneuve","Marianne Malivert","Place Vendôme"
"1999","Nathalie Baye","Her","Une liaison pornographique"
"2000","Rose Byrne","B.G.","The Goddess of 1967"
"2001","Sandra Ceccarelli","Maria","Light of My Eyes"
"2002","Julianne Moore","Cathy Whitaker","Far from Heaven"
"2003","Katja Riemann","Lena Fischer","Rosenstrasse"
"2004","Imelda Staunton","Vera Rose Drake","Vera Drake"
"2005","Giovanna Mezzogiorno","Sabina","Don't Tell"
"2006","Helen Mirren","Queen Elizabeth II","The Queen"
"2007","Cate Blanchett","Jude Quinn","I'm Not There"
"2008","Dominique Blanc","Anne-Marie","The Other One"
"2009","Kseniya Rappoport","Sonia","The Double Hour"
"2010","Ariane Labed","Marina","Attenberg"
"2011","Deanie Ip","Sister Peach","A Simple Life"
"2012","Hadas Yaron","Shira Mendelman","Fill the Void"
"2013","Elena Cotta","Samira Calafiore","A Street in Palermo"
