"Year","Actor","Role","English Title"
"1932","Fredric March","Dr. Henry Jekyll / Mr. Edward Hyde","Dr. Jekyll and Mr. Hyde"
"1934","Wallace Beery","Pancho Villa","Viva Villa!"
"1935","Pierre Blanchar","Rodion Raskolnikov","Crime and Punishment"
"1936","Paul Muni","Louis Pasteur","The Story of Louis Pasteur"
"1937","Emil Jannings","Matthias Clausen","Der Herrscher"
"1938","Leslie Howard","Professor Henry Higgins","Pygmalion"
"1941","Ermete Zacconi","Don Geronimo Buonaparte","Don Buonaparte"
"1942","Fosco Giachetti","Captain Enrico Berti","Bengasi"
"1947","Pierre Fresnay","Vincent de Paul","Monsieur Vincent"
"1948","Ernst Deutsch","Scharf","The Trial"
"1949","Joseph Cotten","Eben Adams","Portrait of Jennie"
"1950","Sam Jaffe",""Erwin ""Doc"" Riedenschneider"","The Asphalt Jungle"
"1951","Jean Gabin","Raymond Pinsard","The Night Is My Kingdom"
"1952","Fredric March","Willy Loman","Death of a Salesman"
"1953","Henri Vilbert","François Dupont","Good Lord Without Confession"
"1954","Jean Gabin","Victor Le Garrec","The Air of Paris"
"1954","Jean Gabin","Max","Touchez pas au grisbi"
"1955","Curd Jürgens","Wolf Gerke","Les héros sont fatigués"
"1955","Kenneth More","Freddie Page","The Deep Blue Sea"
"1956","Bourvil","Marcel Martin","La Traversée de Paris"
"1957","Anthony Franciosa","Polo Pope","A Hatful of Rain"
"1958","Alec Guinness","Gulley Jimson","The Horse's Mouth"
"1959","James Stewart","Paul Biegler","Anatomy of a Murder"
"1960","John Mills","Lt. Col. Basil Barrow","Tunes of Glory"
"1961","Toshiro Mifune","Sanjuro","Yojimbo"
"1962","Burt Lancaster","Robert Stroud","Birdman of Alcatraz"
"1963","Albert Finney","Tom Jones","Tom Jones"
"1964","Tom Courtenay","Private Arthur Hamp","King and Country"
"1965","Toshiro Mifune","Dr. Kyojō Niide","Red Beard"
"1966","Jacques Perrin","Michele","Un uomo a metà"
"1967","Ljubiša Samardžić","Mali","The Morning"
"1968","John Marley","Richard Forst","Faces"
"1983","Guy Boyd","Rooney","Streamers"
"1983","George Dzundza","Cokes","Streamers"
"1983","David Alan Grier","Roger","Streamers"
"1983","Mitchell Lichtenstein","Richie","Streamers"
"1983","Matthew Modine","Billy","Streamers"
"1983","Michael Wright","Carlyle","Streamers"
"1984","Naseeruddin Shah","Naurangia","Paar"
"1985","Gérard Depardieu","Louis Vincent Mangin","Police"
"1986","Carlo Delle Piane","Antonio Sant'Elia","Christmas Present"
"1987","Hugh Grant","Clive Durham","Maurice"
"1987","James Wilby","Maurice Hall","Maurice"
"1988","Don Ameche","Gino","Things Change"
"1988","Joe Mantegna","Jerry","Things Change"
"1989","Marcello Mastroianni","Marcello","What Time Is It?"
"1989","Massimo Troisi","Michele","What Time Is It?"
"1990","Oleg Borisov","Christo Panov / Svidetel","The Only Witness"
"1991","River Phoenix","Mikey Waters","My Own Private Idaho"
"1992","Jack Lemmon",""Shelley ""The Machine"" Levene"","Glengarry Glen Ross"
"1993","Fabrizio Bentivoglio","Pietro De Leo","A Soul Split in Two"
"1993","Marcello Mastroianni","Constantin Laspada","1, 2, 3, Sun"
"1994","Xia Yu","Ma Xiaojun","In the Heat of the Sun"
"1994","Roberto Citran","Loris","Il toro"
"1995","Götz George","Fritz Haarmann","Deathmaker"
"1995","Ian Hart","Ginger","Nothing Personal"
"1996","Liam Neeson","Michael Collins","Michael Collins"
"1996","Chris Penn",""Cesarian ""Chez"" Tempio"","The Funeral"
"1997","Wesley Snipes","Max Carlyle","One Night Stand"
"1998","Sean Penn","Eddie","Hurlyburly"
"1999","Jim Broadbent","W. S. Gilbert","Topsy-Turvy"
"2000","Javier Bardem","Reinaldo Arenas","Before Night Falls"
"2001","Luigi Lo Cascio","Antonio","Light of My Eyes"
"2002","Stefano Accorsi","Dino Campana","A Journey Called Love"
"2003","Sean Penn","Paul Rivers","21 Grams"
"2004","Javier Bardem","Ramón Sampedro","The Sea Inside"
"2005","David Strathairn","Edward R. Murrow","Good Night, and Good Luck"
"2006","Ben Affleck","George Reeves","Hollywoodland"
"2007","Brad Pitt","Jesse James","The Assassination of Jesse James by the Coward Robert Ford"
"2008","Silvio Orlando","Michele Casali","Giovanna's Father"
"2009","Colin Firth","George Falconer","A Single Man"
"2010","Vincent Gallo","Mohammed","Essential Killing"
"2011","Michael Fassbender","Brandon Sullivan","Shame"
"2012","Philip Seymour Hoffman","Lancaster Dodd","The Master"
"2012","Joaquin Phoenix","Freddie Quell","The Master"
"2013","Themis Panou","Father","Miss Violence"
