"Year","Actor","Role","English Title"
"1956","Burt Lancaster","Mike Ribble","Trapeze"
"1957","Pedro Infante","Tizoc","Tizoc"
"1958","Sidney Poitier","Noah Cullen","The Defiant Ones"
"1959","Jean Gabin","Joseph Hughes Guillamume Boutier-Blainville / Archimède","Archimède le clochard"
"1960","Fredric March","Matthew Harrison Brady","Inherit The Wind"
"1961","Peter Finch","Johnnie Byrne","No Love for Johnnie"
"1962","James Stewart","Roger Hobbs","Mr. Hobbs Takes a Vacation"
"1963","Sidney Poitier","Homer Smith","Lilies of the Field"
"1964","Rod Steiger","Sol Nazerman","The Pawnbroker"
"1965","Lee Marvin","Kid Shellen and Tim Strawn","Cat Ballou"
"1966","Jean-Pierre Léaud","Paul","Masculin, féminin"
"1967","Michel Simon","Pépé","The Two of Us"
"1968","Jean-Louis Trintignant","Jan Robin / Boris Varissa","The Man Who Lies"
"1971","Jean Gabin","Julien Bouin","Le Chat"
"1972","Alberto Sordi","Giusseppe Di Noi","In Prison Awaiting Trial"
"1975","Vlastimil Brodský","Jakob Heym","Jacob the Liar"
"1976","Gerhard Olschewski","Cioska","A Lost Life"
"1977","Fernando Fernán Gómez","Fernando","The Anchorite"
"1978","Craig Russell","Robin Turner","Outrageous!"
"1979","Michele Placido","The Man","Ernesto"
"1980","Andrzej Seweryn","Adam Pietryk","The Orchestra Conductor"
"1981","Jack Lemmon","Scottie Templeton","Tribute"
"1981","Anatoly Solonitsyn","Fyodor Mikhailovich Dostoyevsky","Twenty Six Days from the Life of Dostoyevsky"
"1982","Michel Piccoli","Bertrand Malair","Strange Affair"
"1982","Stellan Skarsgård","Sven","The Simple-Minded Murderer"
"1983","Bruce Dern","George Sitkowski","That Championship Season"
"1984","Albert Finney","Sir","The Dresser"
"1985","Fernando Fernán Gómez","Don Leopoldo Contreras de Tejada","Stico"
"1986","Tuncel Kurtiz","Hilmi","The Smile of the Lamb"
"1987","Gian Maria Volonté","Aldo Moro","The Moro Affair"
"1988","Manfred Möck","Hubertus Koschenz","Bear Ye One Another's Burden"
"1988","Jörg Pose","Josef Heiliger","Bear Ye One Another's Burden"
"1989","Gene Hackman","Rupert Anderson","Mississippi Burning"
"1990","Iain Glen","Larry Winters","Silent Scream"
"1991","Maynard Eziashi","Mister Johnson","Mister Johnson"
"1992","Armin Mueller-Stahl","Baron Kaspar Joachim von Utz","Utz"
"1993","Denzel Washington","Malcolm X","Malcolm X"
"1994","Tom Hanks","Andrew Beckett","Philadelphia"
"1995","Paul Newman","Donald Sullivan","Nobody's Fool"
"1996","Sean Penn","Matthew Poncelet","Dead Man Walking"
"1997","Leonardo DiCaprio","Romeo Montague","Romeo + Juliet"
"1998","Samuel L. Jackson","Ordell Robbie","Jackie Brown"
"1999","Michael Gwisdek","Peschke","Nightshapes"
"2000","Denzel Washington",""Rubin ""Hurricane"" Carter"","The Hurricane"
"2001","Benicio del Toro","Javier Rodriguez","Traffic"
"2002","Jacques Gamblin","Jean Devaivre","Safe Conduct"
"2003","Sam Rockwell","Chuck Barris","Confessions of a Dangerous Mind"
"2004","Daniel Hendler","Ariel Makaroff","Lost Embrace"
"2005","Lou Taylor Pucci","Justin Cobb","Thumbsucker"
"2006","Moritz Bleibtreu","Bruno","Atomised"
"2007","Julio Chávez","Juan Desouza","The Other"
"2008","Reza Naji","Karim","The Song of Sparrows"
"2009","Sotigui Kouyaté","Ousmane","London River"
"2010","Grigoriy Dobrygin","Pavel Danilov","How I Ended This Summer"
"2010","Sergei Puskepalis","Sergei Gulybin","How I Ended This Summer"
"2011","Payman Maadi","Nader","A Separation"
"2011","Shahab Hosseini","Hodjat","A Separation"
"2011","Ali-Asghar Shahbazi","Nader's Father","A Separation"
"2011","Babak Karimi","Judge","A Separation"
"2012","Mikkel Følsgaard","King Christian VII of Denmark","A Royal Affair"
"2013","Nazif Mujić","Nazif","An Episode in the Life of an Iron Picker"
"2014","Liao Fan","Zhang Zili","Black Coal, Thin Ice"
"2015","Tom Courtenay","Geoff Mercer","45 Years"
"2016","Majd Mastoura","Hedi","Hedi"
