"Year","Actor","Role","English Title"
"1956","Burt Lancaster","Mike Ribble","Trapeze"
"1957","Pedro Infante","Tizoc","Tizoc"
"1958","Sidney Poitier","Noah Cullen","The Defiant Ones"
"1959","Jean Gabin","Joseph Hughes Guillamume Boutier-Blainville / Archimède","Archimède le clochard"
"1960","Fredric March","Matthew Harrison Brady","Inherit The Wind"
"1961","Peter Finch","Johnnie Byrne","No Love for Johnnie"
"1962","James Stewart","Roger Hobbs","Mr. Hobbs Takes a Vacation"
"1963","Sidney Poitier","Homer Smith","Lilies of the Field"
"1964","Rod Steiger","Sol Nazerman","The Pawnbroker"
"1965","Lee Marvin","Kid Shellen and Tim Strawn","Cat Ballou"
"1966","Jean-Pierre Léaud","Paul","Masculin, féminin"
"1967","Michel Simon","Pépé","The Two of Us"
"1968","Jean-Louis Trintignant","Jan Robin / Boris Varissa","The Man Who Lies"
"1971","Jean Gabin","Julien Bouin","Le Chat"
"1972","Alberto Sordi","Giusseppe Di Noi","In Prison Awaiting Trial"
"1975","Vlastimil Brodský","Jakob Heym","Jacob the Liar"
"1976","Gerhard Olschewski","Cioska","A Lost Life"
"1977","Fernando Fernán Gómez","Fernando","The Anchorite"
"1978","Craig Russell","Robin Turner","Outrageous!"
"1979","Michele Placido","The Man","Ernesto"
"1980","Andrzej Seweryn","Adam Pietryk","The Orchestra Conductor"
"1981","Jack Lemmon","Scottie Templeton","Tribute"
"1981","Anatoly Solonitsyn","Fyodor Mikhailovich Dostoyevsky","Twenty Six Days from the Life of Dostoyevsky"
"1982","Michel Piccoli","Bertrand Malair","Strange Affair"
"1982","Stellan Skarsgård","Sven","The Simple-Minded Murderer"
"1983","Bruce Dern","George Sitkowski","That Championship Season"
"1984","Albert Finney","Sir","The Dresser"
"1985","Fernando Fernán Gómez","Don Leopoldo Contreras de Tejada","Stico"
"1986","Tuncel Kurtiz","Hilmi","The Smile of the Lamb"
"1987","Gian Maria Volonté","Aldo Moro","The Moro Affair"
"1988","Manfred Möck","Hubertus Koschenz","Bear Ye One Another's Burden"
"1988","Jörg Pose","Josef Heiliger","Bear Ye One Another's Burden"
"1989","Gene Hackman","Rupert Anderson","Mississippi Burning"
"1990","Iain Glen","Larry Winters","Silent Scream"
"1991","Maynard Eziashi","Mister Johnson","Mister Johnson"
"1992","Armin Mueller-Stahl","Baron Kaspar Joachim von Utz","Utz"
"1993","Denzel Washington","Malcolm X","Malcolm X"
"1994","Tom Hanks","Andrew Beckett","Philadelphia"
"1995","Paul Newman","Donald Sullivan","Nobody's Fool"
"1996","Sean Penn","Matthew Poncelet","Dead Man Walking"
"1997","Leonardo DiCaprio","Romeo Montague","Romeo + Juliet"
"1998","Samuel L. Jackson","Ordell Robbie","Jackie Brown"
"1999","Michael Gwisdek","Peschke","Nightshapes"
"2000","Denzel Washington",""Rubin ""Hurricane"" Carter"","The Hurricane"
"2001","Benicio del Toro","Javier Rodriguez","Traffic"
"2002","Jacques Gamblin","Jean Devaivre","Safe Conduct"
"2003","Sam Rockwell","Chuck Barris","Confessions of a Dangerous Mind"
"2004","Daniel Hendler","Ariel Makaroff","Lost Embrace"
"2005","Lou Taylor Pucci","Justin Cobb","Thumbsucker"
"2006","Moritz Bleibtreu","Bruno","Atomised"
"2007","Julio Chávez","Juan Desouza","The Other"
"2008","Reza Naji","Karim","The Song of Sparrows"
"2009","Sotigui Kouyaté","Ousmane","London River"
"2010","Grigoriy Dobrygin","Pavel Danilov","How I Ended This Summer"
"2010","Sergei Puskepalis","Sergei Gulybin","How I Ended This Summer"
"2011","Payman Maadi","Nader","A Separation"
"2011","Shahab Hosseini","Hodjat","A Separation"
"2011","Ali-Asghar Shahbazi","Nader's Father","A Separation"
"2011","Babak Karimi","Judge","A Separation"
"2012","Mikkel Følsgaard","King Christian VII of Denmark","A Royal Affair"
"2013","Nazif Mujić","Nazif","An Episode in the Life of an Iron Picker"
"2014","Liao Fan","Zhang Zili","Black Coal, Thin Ice"
"2015","Tom Courtenay","Geoff Mercer","45 Years"
"2016","Majd Mastoura","Hedi","Hedi"
"1956","Elsa Martinelli","Donatella","Donatella"
"1957","Yvonne Mitchell","Amy Preston","Woman in a Dressing Gown"
"1958","Anna Magnani","Gioia","Wild Is the Wind"
"1959","Shirley MacLaine","Meg Wheeler","Ask Any Girl"
"1960","Juliette Mayniel","Annette","The Fair"
"1961","Anna Karina","Angela Récamier","A Woman Is a Woman"
"1962","Rita Gam","Estelle Rigault","No Exit"
"1962","Viveca Lindfors","Inès Serrano","No Exit"
"1963","Bibi Andersson","The Girl","The Mistress"
"1964","Sachiko Hidari","Tome Matsuki","The Insect Woman"
"1965","Madhur Jaffrey","Manjula","Shakespeare Wallah"
"1966","Lola Albright","Marie Greene","Lord Love a Duck"
"1967","Edith Evans","Maggie Ross","The Whisperers"
"1968","Stéphane Audran","Frédérique","Les Biches"
"1971","Shirley MacLaine","Sophie Bentwood","Desperate Characters"
"1971","Simone Signoret","Clémence Bouin","Le Chat"
"1972","Elizabeth Taylor","Jimmie Jean Jackson","Hammersmith Is Out"
"1975","Kinuyo Tanaka","Osaki Yamakawa","Sandakan No. 8"
"1976","Jadwiga Barańska","Barbara Niechcic","Nights and Days"
"1977","Lily Tomlin","Margo Sperling","The Late Show"
"1978","Gena Rowlands","Myrtle Gordon","Opening Night"
"1979","Hanna Schygulla","Maria Braun","The Marriage of Maria Braun"
"1980","Renate Krößner","Ingrid “Sunny” Sommer","Solo Sunny"
"1981","Barbara Grabowska","Kama","Fever"
"1982","Katrin Sass","Nina Kern","Bürgschaft für ein Jahr"
"1983","Yevgeniya Glushenko","Vera Silkova","Love by Request"
"1984","Inna Churikova","Vera Nikolaevna","Wartime Romance"
"1985","Jo Kennedy","Mary","Wrong World"
"1986","Marcélia Cartaxo","Macabéa","Hour of the Star"
"1986","Charlotte Valandrey","Nadia","Red Kiss"
"1987","Ana Beatriz Nogueira","Vera Bauer","Vera"
"1988","Holly Hunter","Jane Craig","Broadcast News"
"1989","Isabelle Adjani","Camille Claudel","Camille Claudel"
"1991","Victoria Abril","Luisa","Lovers"
"1992","Maggie Cheung","Ruan Lingyu","Center Stage"
"1993","Michelle Pfeiffer","Lurene Hallett","Love Field"
"1994","Crissy Rock","Maggie Conlan","Ladybird, Ladybird"
"1995","Josephine Siao","May Sun","Summer Snow"
"1996","Anouk Grinberg","Marie Abarth","My Man"
"1997","Juliette Binoche","Hana","The English Patient"
"1998","Fernanda Montenegro","Isadora Teixeira","Central Station"
"1999","Juliane Köhler","Lilly Wust (Aimée)","Aimée & Jaguar"
"1999","Maria Schrader","Felice Schragenheim (Jaguar)","Aimée & Jaguar"
"2000","Bibiana Beglau","Rita Vogt","The Legend of Rita"
"2000","Nadja Uhl","Tatjana","The Legend of Rita"
"2001","Kerry Fox","Claire","Intimacy"
"2002","Halle Berry","Leticia Musgrove","Monster's Ball"
"2003","Nicole Kidman","Virginia Woolf","The Hours"
"2003","Julianne Moore","Laura Brown","The Hours"
"2003","Meryl Streep","Clarissa Vaughn","The Hours"
"2004","Catalina Sandino Moreno","María Álvarez","Maria Full of Grace"
"2004","Charlize Theron","Aileen Wuornos","Monster"
"2005","Julia Jentsch","Sophie Scholl","Sophie Scholl – The Final Days"
"2006","Sandra Hüller","Michaela Klingler","Requiem"
"2007","Nina Hoss","Yella Fichte","Yella"
"2008","Sally Hawkins",""Pauline ""Poppy"" Cross"","Happy-Go-Lucky"
"2009","Birgit Minichmayr","Gitti","Everyone Else"
"2010","Shinobu Terajima","Shigeko Kurokawa","Caterpillar"
"2011","Leila Hatami","Simin","A Separation"
"2011","Sareh Bayat","Razieh","A Separation"
"2011","Sarina Farhadi","Termeh","A Separation"
"2011","Kimia Hosseini","Somayeh","A Separation"
"2012","Rachel Mwanza","Komona","War Witch"
"2013","Paulina García","Gloria Cumplido","Gloria"
