Year,Actress,Role,English Title
1946,Michèle Morgan,Gertrude,Pastoral Symphony
1949,Isa Miranda,Marta Manfredini,The Walls of Malapaga
1951,Bette Davis,Margo Channing,All About Eve
1952,Lee Grant,The Shoplifter,Detective Story
1955,Elena Dobronravova,Katya Travnikova,A Big Family
1955,Vera Kuznetsova,Agafya Karpovna Zhurbina,A Big Family
1955,Klara Luchko,Lida Zhurbina,A Big Family
1955,Ekaterina Savinova,Dunyasha Zhurbina,A Big Family
1955,Iya Arepina,Tanya Zhurbina,A Big Family
1955,Larisa Kronberg,Zina Ivanova,A Big Family
1956,Susan Hayward,Lillian Roth,I'll Cry Tomorrow
1957,Giulietta Masina,Maria "Cabiria" Ceccarelli,Nights of Cabiria
1958,Bibi Andersson,Hjördis Petterson,Brink of Life
1958,Eva Dahlbeck,Stina Andersson,Brink of Life
1958,Barbro Hiort af Ornäs,Nurse Brita,Brink of Life
1958,Ingrid Thulin,Cecilia Ellius,Brink of Life
1959,Simone Signoret,Alice Aisgill,Room at the Top
1960,Melina Mercouri,Ilya,Never on Sunday
1960,Jeanne Moreau,Anne Desbarèdes,Seven Days... Seven Nights
1961,Sophia Loren,Cesira,Two Women
1962,Katharine Hepburn,Mary Cavan Tyrone,Long Day's Journey into Night
1962,Rita Tushingham,Josephine ("Jo"),A Taste of Honey
1963,Marina Vlady,Regina,The Conjugal Bed
1964,Anne Bancroft,Jo Armitage,The Pumpkin Eater
1964,Barbara Barrie,Julie Cullen Richards,"One Potato, Two Potato"
1965,Samantha Eggar,Miranda Grey,The Collector
1966,Vanessa Redgrave,Leonie Delt,Morgan – A Suitable Case for Treatment
1967,Pia Degermark,Elvira Madigan,Elvira Madigan
1969,Vanessa Redgrave,Isadora Duncan,Isadora
1970,Ottavia Piccolo,Ersilia,Metello
1971,Kitty Winn,Helen Reeves,The Panic in Needle Park
1972,Susannah York,Cathryn,Images
1973,Joanne Woodward,Beatrice Hunsdorfer,The Effect of Gamma Rays on Man-in-the-Moon Marigolds
1974,Marie-José Nat,Elle / Michel's wife,Violins at the Ball
1975,Valérie Perrine,Honey Bruce,Lenny
1976,Dominique Sanda,Irene Carelli Ferramonti,The Inheritance
1976,Mari Törőcsik,Déryné,Mrs. Dery Where Are You?
1977,Shelley Duvall,Mildred "Millie" Lammoreaux,3 Women
1977,Monique Mercure,Rose-Aimee Martin,J.A. Martin Photographer
1978,Jill Clayburgh,Erica Benton,An Unmarried Woman
1978,Isabelle Huppert,Violette Nozière,Violette Nozière
1979,Sally Field,Norma Rae Webster,Norma Rae
1979,Eva Mattes,Marie,Woyzeck
1980,Anouk Aimée,Marta Ponticelli,A Leap in the Dark
1980,Milena Dravić,Kaca,Special Treatment
1980,Carla Gravina,Carla,La terrazza
1981,Isabelle Adjani,Anna / Helen,Possession
1981,Isabelle Adjani,Marya 'Mado' Zelli,Quartet
1981,Elena Solovey,Ona,Faktas
1982,Jadwiga Jankowska-Cieślak,Eva Szalanczky,Another Way
1983,Hanna Schygulla,Eugenia,The Story of Piera
1984,Helen Mirren,Marcella,Cal
1985,Norma Aleandro,Alicia Marnet de Ibáñez,The Official Story
1985,Cher,Florence "Rusty" Dennis,Mask
1986,Barbara Sukowa,Rosa Luxemburg,Rosa Luxemburg
1986,Fernanda Torres,The Woman,Love Me Forever or Never
1987,Barbara Hershey,Ruth,Shy People
1988,Barbara Hershey,Diana Roth,A World Apart
1988,Jodhi May,Molly Roth,A World Apart
1988,Linda Mvusi,Elsie,A World Apart
1989,Meryl Streep,Lindy Chamberlain,A Cry in the Dark
1990,Krystyna Janda,Antonina 'Tonia' Dziwisz,Interrogation
1991,Irène Jacob,Weronika / Véronique,The Double Life of Veronique
1992,Pernilla August,Anna Åkerblom Bergman,The Best Intentions
1993,Holly Hunter,Ada McGrath,The Piano
1994,Virna Lisi,Catherine de' Medici,La Reine Margot
1995,Helen Mirren,Queen Charlotte,The Madness of King George
1996,Brenda Blethyn,Cynthia Rose Purley,Secrets & Lies
1997,Kathy Burke,Valerie,Nil by Mouth
1998,Élodie Bouchez,Isabelle 'Isa' Tostin,The Dreamlife of Angels
1998,Natacha Régnier,Marie Thomas,The Dreamlife of Angels
1999,Séverine Caneele,Dominio,Humanité
1999,Émilie Dequenne,Rosetta,Rosetta
2000,Björk,Selma Ježková,Dancer in the Dark
2001,Isabelle Huppert,Erika Kohut,The Piano Teacher
2002,Kati Outinen,Irma,The Man Without a Past
2003,Marie-Josée Croze,Nathalie,The Barbarian Invasions
2004,Maggie Cheung,Emily Wang,Clean
2005,Hanna Laslo,Hanna,Free Zone
2006,Penélope Cruz,Raimunda,Volver
2006,Carmen Maura,Irene,Volver
2006,Lola Dueñas,Soledad ("Sole"),Volver
2006,Blanca Portillo,Agustina,Volver
2006,Yohana Cobo,Paula,Volver
2006,Chus Lampreave,Tía Paula,Volver
2007,Jeon Do-yeon,Lee Shin-ae,Secret Sunshine
2008,Sandra Corveloni,Cleuza,Linha de Passe
2009,Charlotte Gainsbourg,She,Antichrist
2010,Juliette Binoche,The Woman,Certified Copy
2011,Kirsten Dunst,Justine,Melancholia
2012,Cristina Flutur,Alina,Beyond the Hills
2012,Cosmina Stratan,Voichita,Beyond the Hills
2013,Bérénice Bejo,Marie Brisson,The Past
